mpg,displacement,cylinders,horsepower,weight,acceleration,model_year,origin,car_name,brand
17.0,304.0,8,150.0,3672,11.5,72,USA,amc ambassador sst,amc
11.0,429.0,8,208.0,4633,11.0,72,USA,mercury marquis,mercury
13.0,350.0,8,155.0,4502,13.5,72,USA,buick lesabre custom,buick
12.0,350.0,8,160.0,4456,13.5,72,USA,oldsmobile delta 88 royale,oldsmobile
13.0,400.0,8,190.0,4422,12.5,72,USA,chrysler newport royal,chrysler
19.0,70.0,3,97.0,2330,13.5,72,Japan,mazda rx2 coupe,mazda
15.0,304.0,8,150.0,3892,12.5,72,USA,amc matador (sw),amc
13.0,307.0,8,130.0,4098,14.0,72,USA,chevrolet chevelle concours (sw),chevrolet
13.0,302.0,8,140.0,4294,16.0,72,USA,ford gran torino (sw),ford
14.0,318.0,8,150.0,4077,14.0,72,USA,plymouth satellite custom (sw),plymouth
18.0,121.0,4,112.0,2933,14.5,72,Europe,volvo 145e (sw),volvo
22.0,121.0,4,76.0,2511,18.0,72,Europe,volkswagen 411 (sw),volkswagen
21.0,120.0,4,87.0,2979,19.5,72,Europe,peugeot 504 (sw),peugeot
26.0,96.0,4,69.0,2189,18.0,72,Europe,renault 12 (sw),renault
22.0,122.0,4,86.0,2395,16.0,72,USA,ford pinto (sw),ford
28.0,97.0,4,92.0,2288,17.0,72,Japan,datsun 510 (sw),datsun
23.0,120.0,4,97.0,2506,14.5,72,Japan,toyouta corona mark ii (sw),toyota
28.0,98.0,4,80.0,2164,15.0,72,USA,dodge colt (sw),dodge
27.0,97.0,4,88.0,2100,16.5,72,Japan,toyota corolla 1600 (sw),toyota
13.0,350.0,8,175.0,4100,13.0,73,USA,buick century 350,buick
14.0,304.0,8,150.0,3672,11.5,73,USA,amc matador,amc
13.0,350.0,8,145.0,3988,13.0,73,USA,chevrolet malibu,chevrolet
14.0,302.0,8,137.0,4042,14.5,73,USA,ford gran torino,ford
15.0,318.0,8,150.0,3777,12.5,73,USA,dodge coronet custom,dodge
12.0,429.0,8,198.0,4952,11.5,73,USA,mercury marquis brougham,mercury
13.0,400.0,8,150.0,4464,12.0,73,USA,chevrolet caprice classic,chevrolet
13.0,351.0,8,158.0,4363,13.0,73,USA,ford ltd,ford
14.0,318.0,8,150.0,4237,14.5,73,USA,plymouth fury gran sedan,plymouth
13.0,440.0,8,215.0,4735,11.0,73,USA,chrysler new yorker brougham,chrysler
12.0,455.0,8,225.0,4951,11.0,73,USA,buick electra 225 custom,buick
13.0,360.0,8,175.0,3821,11.0,73,USA,amc ambassador brougham,amc
18.0,225.0,6,105.0,3121,16.5,73,USA,plymouth valiant,plymouth
16.0,250.0,6,100.0,3278,18.0,73,USA,chevrolet nova custom,chevrolet
18.0,232.0,6,100.0,2945,16.0,73,USA,amc hornet,amc
18.0,250.0,6,88.0,3021,16.5,73,USA,ford maverick,ford
23.0,198.0,6,95.0,2904,16.0,73,USA,plymouth duster,plymouth
26.0,97.0,4,46.0,1950,21.0,73,Europe,volkswagen super beetle,volkswagen
11.0,400.0,8,150.0,4997,14.0,73,USA,chevrolet impala,chevrolet
12.0,400.0,8,167.0,4906,12.5,73,USA,ford country,ford
13.0,360.0,8,170.0,4654,13.0,73,USA,plymouth custom suburb,plymouth
12.0,350.0,8,180.0,4499,12.5,73,USA,oldsmobile vista cruiser,oldsmobile
18.0,232.0,6,100.0,2789,15.0,73,USA,amc gremlin,amc
20.0,97.0,4,88.0,2279,19.0,73,Japan,toyota carina,toyota
21.0,140.0,4,72.0,2401,19.5,73,USA,chevrolet vega,chevrolet
22.0,108.0,4,94.0,2379,16.5,73,Japan,datsun 610,datsun
18.0,70.0,3,90.0,2124,13.5,73,Japan,maxda rx3,mazda
19.0,122.0,4,85.0,2310,18.5,73,USA,ford pinto,ford
21.0,155.0,6,107.0,2472,14.0,73,USA,mercury capri v6,mercury
26.0,98.0,4,90.0,2265,15.5,73,Europe,fiat 124 sport coupe,fiat
15.0,350.0,8,145.0,4082,13.0,73,USA,chevrolet monte carlo s,chevrolet
16.0,400.0,8,230.0,4278,9.5,73,USA,pontiac grand prix,pontiac
29.0,68.0,4,49.0,1867,19.5,73,Europe,fiat 128,fiat
24.0,116.0,4,75.0,2158,15.5,73,Europe,opel manta,opel
20.0,114.0,4,91.0,2582,14.0,73,Europe,audi 100ls,audi
19.0,121.0,4,112.0,2868,15.5,73,Europe,volvo 144ea,volvo
15.0,318.0,8,150.0,3399,11.0,73,USA,dodge dart custom,dodge
24.0,121.0,4,110.0,2660,14.0,73,Europe,saab 99le,saab
20.0,156.0,6,122.0,2807,13.5,73,Japan,toyota mark ii,toyota
11.0,350.0,8,180.0,3664,11.0,73,USA,oldsmobile omega,oldsmobile
20.0,198.0,6,95.0,3102,16.5,74,USA,plymouth duster,plymouth
21.0,200.0,6,93.5,2875,17.0,74,USA,ford maverick,ford
19.0,232.0,6,100.0,2901,16.0,74,USA,amc hornet,amc
15.0,250.0,6,100.0,3336,17.0,74,USA,chevrolet nova,chevrolet
31.0,79.0,4,67.0,1950,19.0,74,Japan,datsun b210,datsun
26.0,122.0,4,80.0,2451,16.5,74,USA,ford pinto,ford
32.0,71.0,4,65.0,1836,21.0,74,Japan,toyota corolla 1200,toyota
25.0,140.0,4,75.0,2542,17.0,74,USA,chevrolet vega,chevrolet
16.0,250.0,6,100.0,3781,17.0,74,USA,chevrolet chevelle malibu classic,chevrolet
16.0,258.0,6,110.0,3632,18.0,74,USA,amc matador,amc
18.0,225.0,6,105.0,3613,16.5,74,USA,plymouth satellite sebring,plymouth
16.0,302.0,8,140.0,4141,14.0,74,USA,ford gran torino,ford
13.0,350.0,8,150.0,4699,14.5,74,USA,buick century luxus (sw),buick
14.0,318.0,8,150.0,4457,13.5,74,USA,dodge coronet custom (sw),dodge
14.0,302.0,8,140.0,4638,16.0,74,USA,ford gran torino (sw),ford
14.0,304.0,8,150.0,4257,15.5,74,USA,amc matador (sw),amc
29.0,98.0,4,83.0,2219,16.5,74,Europe,audi fox,audi
26.0,79.0,4,67.0,1963,15.5,74,Europe,volkswagen dasher,volkswagen
26.0,97.0,4,78.0,2300,14.5,74,Europe,opel manta,opel
31.0,76.0,4,52.0,1649,16.5,74,Japan,toyota corona,toyota
32.0,83.0,4,61.0,2003,19.0,74,Japan,datsun 710,datsun
28.0,90.0,4,75.0,2125,14.5,74,USA,dodge colt,dodge
24.0,90.0,4,75.0,2108,15.5,74,Europe,fiat 128,fiat
26.0,116.0,4,75.0,2246,14.0,74,Europe,fiat 124 tc,fiat
24.0,120.0,4,97.0,2489,15.0,74,Japan,honda civic,honda
26.0,108.0,4,93.0,2391,15.5,74,Japan,subaru,subaru
31.0,79.0,4,67.0,2000,16.0,74,Europe,fiat x1.9,fiat
19.0,225.0,6,95.0,3264,16.0,75,USA,plymouth valiant custom,plymouth
18.0,250.0,6,105.0,3459,16.0,75,USA,chevrolet nova,chevrolet
15.0,250.0,6,72.0,3432,21.0,75,USA,mercury monarch,mercury
15.0,250.0,6,72.0,3158,19.5,75,USA,ford maverick,ford
16.0,400.0,8,170.0,4668,11.5,75,USA,pontiac catalina,pontiac
15.0,350.0,8,145.0,4440,14.0,75,USA,chevrolet bel air,chevrolet
16.0,318.0,8,150.0,4498,14.5,75,USA,plymouth grand fury,plymouth
14.0,351.0,8,148.0,4657,13.5,75,USA,ford ltd,ford
17.0,231.0,6,110.0,3907,21.0,75,USA,buick century,buick
16.0,250.0,6,105.0,3897,18.5,75,USA,chevroelt chevelle malibu,chevrolet
15.0,258.0,6,110.0,3730,19.0,75,USA,amc matador,amc
18.0,225.0,6,95.0,3785,19.0,75,USA,plymouth fury,plymouth
21.0,231.0,6,110.0,3039,15.0,75,USA,buick skyhawk,buick
20.0,262.0,8,110.0,3221,13.5,75,USA,chevrolet monza 2+2,chevrolet
13.0,302.0,8,129.0,3169,12.0,75,USA,ford mustang ii,ford
29.0,97.0,4,75.0,2171,16.0,75,Japan,toyota corolla,toyota
23.0,140.0,4,83.0,2639,17.0,75,USA,ford pinto,ford
20.0,232.0,6,100.0,2914,16.0,75,USA,amc gremlin,amc
23.0,140.0,4,78.0,2592,18.5,75,USA,pontiac astro,pontiac
24.0,134.0,4,96.0,2702,13.5,75,Japan,toyota corona,toyota
25.0,90.0,4,71.0,2223,16.5,75,Europe,volkswagen dasher,volkswagen
24.0,119.0,4,97.0,2545,17.0,75,Japan,datsun 710,datsun
18.0,171.0,6,97.0,2984,14.5,75,USA,ford pinto,ford
29.0,90.0,4,70.0,1937,14.0,75,Europe,volkswagen rabbit,volkswagen
19.0,232.0,6,90.0,3211,17.0,75,USA,amc pacer,amc
23.0,115.0,4,95.0,2694,15.0,75,Europe,audi 100ls,audi
23.0,120.0,4,88.0,2957,17.0,75,Europe,peugeot 504,peugeot
22.0,121.0,4,98.0,2945,14.5,75,Europe,volvo 244dl,volvo
25.0,121.0,4,115.0,2671,13.5,75,Europe,saab 99le,saab
33.0,91.0,4,53.0,1795,17.5,75,Japan,honda civic cvcc,honda
28.0,107.0,4,86.0,2464,15.5,76,Europe,fiat 131,fiat
25.0,116.0,4,81.0,2220,16.9,76,Europe,opel 1900,opel
25.0,140.0,4,92.0,2572,14.9,76,USA,capri ii,capri
26.0,98.0,4,79.0,2255,17.7,76,USA,dodge colt,dodge
27.0,101.0,4,83.0,2202,15.3,76,Europe,renault 12tl,renault
17.5,305.0,8,140.0,4215,13.0,76,USA,chevrolet chevelle malibu classic,chevrolet
16.0,318.0,8,150.0,4190,13.0,76,USA,dodge coronet brougham,dodge
15.5,304.0,8,120.0,3962,13.9,76,USA,amc matador,amc
14.5,351.0,8,152.0,4215,12.8,76,USA,ford gran torino,ford
22.0,225.0,6,100.0,3233,15.4,76,USA,plymouth valiant,plymouth
22.0,250.0,6,105.0,3353,14.5,76,USA,chevrolet nova,chevrolet
24.0,200.0,6,81.0,3012,17.6,76,USA,ford maverick,ford
22.5,232.0,6,90.0,3085,17.6,76,USA,amc hornet,amc
29.0,85.0,4,52.0,2035,22.2,76,USA,chevrolet chevette,chevrolet
24.5,98.0,4,60.0,2164,22.1,76,USA,chevrolet woody,chevrolet
29.0,90.0,4,70.0,1937,14.2,76,Europe,vw rabbit,volkswagen
33.0,91.0,4,53.0,1795,17.4,76,Japan,honda civic,honda
20.0,225.0,6,100.0,3651,17.7,76,USA,dodge aspen se,dodge
18.0,250.0,6,78.0,3574,21.0,76,USA,ford granada ghia,ford
18.5,250.0,6,110.0,3645,16.2,76,USA,pontiac ventura sj,pontiac
17.5,258.0,6,95.0,3193,17.8,76,USA,amc pacer d/l,amc
29.5,97.0,4,71.0,1825,12.2,76,Europe,volkswagen rabbit,volkswagen
32.0,85.0,4,70.0,1990,17.0,76,Japan,datsun b-210,datsun
28.0,97.0,4,75.0,2155,16.4,76,Japan,toyota corolla,toyota
26.5,140.0,4,72.0,2565,13.6,76,USA,ford pinto,ford
20.0,130.0,4,102.0,3150,15.7,76,Europe,volvo 245,volvo
13.0,318.0,8,150.0,3940,13.2,76,USA,plymouth volare premier v8,plymouth
19.0,120.0,4,88.0,3270,21.9,76,Europe,peugeot 504,peugeot
19.0,156.0,6,108.0,2930,15.5,76,Japan,toyota mark ii,toyota
16.5,168.0,6,120.0,3820,16.7,76,Europe,mercedes-benz 280s,mercedes-benz
16.5,350.0,8,180.0,4380,12.1,76,USA,cadillac seville,cadillac
13.0,350.0,8,145.0,4055,12.0,76,USA,chevy c10,chevrolet
13.0,302.0,8,130.0,3870,15.0,76,USA,ford f108,ford
13.0,318.0,8,150.0,3755,14.0,76,USA,dodge d100,dodge
31.5,98.0,4,68.0,2045,18.5,77,Japan,honda accord cvcc,honda
30.0,111.0,4,80.0,2155,14.8,77,USA,buick opel isuzu deluxe,buick
36.0,79.0,4,58.0,1825,18.6,77,Europe,renault 5 gtl,renault
25.5,122.0,4,96.0,2300,15.5,77,USA,plymouth arrow gs,plymouth
33.5,85.0,4,70.0,1945,16.8,77,Japan,datsun f-10 hatchback,datsun
17.5,305.0,8,145.0,3880,12.5,77,USA,chevrolet caprice classic,chevrolet
17.0,260.0,8,110.0,4060,19.0,77,USA,oldsmobile cutlass supreme,oldsmobile
15.5,318.0,8,145.0,4140,13.7,77,USA,dodge monaco brougham,dodge
15.0,302.0,8,130.0,4295,14.9,77,USA,mercury cougar brougham,mercury
17.5,250.0,6,110.0,3520,16.4,77,USA,chevrolet concours,chevrolet
20.5,231.0,6,105.0,3425,16.9,77,USA,buick skylark,buick
19.0,225.0,6,100.0,3630,17.7,77,USA,plymouth volare custom,plymouth
18.5,250.0,6,98.0,3525,19.0,77,USA,ford granada,ford
16.0,400.0,8,180.0,4220,11.1,77,USA,pontiac grand prix lj,pontiac
15.5,350.0,8,170.0,4165,11.4,77,USA,chevrolet monte carlo landau,chevrolet
15.5,400.0,8,190.0,4325,12.2,77,USA,chrysler cordoba,chrysler
16.0,351.0,8,149.0,4335,14.5,77,USA,ford thunderbird,ford
29.0,97.0,4,78.0,1940,14.5,77,Europe,volkswagen rabbit custom,volkswagen
24.5,151.0,4,88.0,2740,16.0,77,USA,pontiac sunbird coupe,pontiac
26.0,97.0,4,75.0,2265,18.2,77,Japan,toyota corolla liftback,toyota
25.5,140.0,4,89.0,2755,15.8,77,USA,ford mustang ii 2+2,ford
30.5,98.0,4,63.0,2051,17.0,77,USA,chevrolet chevette,chevrolet
33.5,98.0,4,83.0,2075,15.9,77,USA,dodge colt m/m,dodge
30.0,97.0,4,67.0,1985,16.4,77,Japan,subaru dl,subaru
30.5,97.0,4,78.0,2190,14.1,77,Europe,volkswagen dasher,volkswagen
22.0,146.0,6,97.0,2815,14.5,77,Japan,datsun 810,datsun
21.5,121.0,4,110.0,2600,12.8,77,Europe,bmw 320i,bmw
21.5,80.0,3,110.0,2720,13.5,77,Japan,mazda rx-4,mazda
43.1,90.0,4,48.0,1985,21.5,78,Europe,volkswagen rabbit custom diesel,volkswagen
36.1,98.0,4,66.0,1800,14.4,78,USA,ford fiesta,ford
32.8,78.0,4,52.0,1985,19.4,78,Japan,mazda glc deluxe,mazda
39.4,85.0,4,70.0,2070,18.6,78,Japan,datsun b210 gx,datsun
36.1,91.0,4,60.0,1800,16.4,78,Japan,honda civic cvcc,honda
19.9,260.0,8,110.0,3365,15.5,78,USA,oldsmobile cutlass salon brougham,oldsmobile
19.4,318.0,8,140.0,3735,13.2,78,USA,dodge diplomat,dodge
20.2,302.0,8,139.0,3570,12.8,78,USA,mercury monarch ghia,mercury
19.2,231.0,6,105.0,3535,19.2,78,USA,pontiac phoenix lj,pontiac
20.5,200.0,6,95.0,3155,18.2,78,USA,chevrolet malibu,chevrolet
20.2,200.0,6,85.0,2965,15.8,78,USA,ford fairmont (auto),ford
25.1,140.0,4,88.0,2720,15.4,78,USA,ford fairmont (man),ford
20.5,225.0,6,100.0,3430,17.2,78,USA,plymouth volare,plymouth
19.4,232.0,6,90.0,3210,17.2,78,USA,amc concord,amc
20.6,231.0,6,105.0,3380,15.8,78,USA,buick century special,buick
20.8,200.0,6,85.0,3070,16.7,78,USA,mercury zephyr,mercury
18.6,225.0,6,110.0,3620,18.7,78,USA,dodge aspen,dodge
18.1,258.0,6,120.0,3410,15.1,78,USA,amc concord d/l,amc
19.2,305.0,8,145.0,3425,13.2,78,USA,chevrolet monte carlo landau,chevrolet
17.7,231.0,6,165.0,3445,13.4,78,USA,buick regal sport coupe (turbo),buick
18.1,302.0,8,139.0,3205,11.2,78,USA,ford futura,ford
17.5,318.0,8,140.0,4080,13.7,78,USA,dodge magnum xe,dodge
30.0,98.0,4,68.0,2155,16.5,78,USA,chevrolet chevette,chevrolet
27.5,134.0,4,95.0,2560,14.2,78,Japan,toyota corona,toyota
27.2,119.0,4,97.0,2300,14.7,78,Japan,datsun 510,datsun
30.9,105.0,4,75.0,2230,14.5,78,USA,dodge omni,dodge
21.1,134.0,4,95.0,2515,14.8,78,Japan,toyota celica gt liftback,toyota
23.2,156.0,4,105.0,2745,16.7,78,USA,plymouth sapporo,plymouth
23.8,151.0,4,85.0,2855,17.6,78,USA,oldsmobile starfire sx,oldsmobile
23.9,119.0,4,97.0,2405,14.9,78,Japan,datsun 200-sx,datsun
20.3,131.0,5,103.0,2830,15.9,78,Europe,audi 5000,audi
17.0,163.0,6,125.0,3140,13.6,78,Europe,volvo 264gl,volvo
21.6,121.0,4,115.0,2795,15.7,78,Europe,saab 99gle,saab
16.2,163.0,6,133.0,3410,15.8,78,Europe,peugeot 604sl,peugeot
31.5,89.0,4,71.0,1990,14.9,78,Europe,volkswagen scirocco,volkswagen
29.5,98.0,4,68.0,2135,16.6,78,Japan,honda accord lx,honda
21.5,231.0,6,115.0,3245,15.4,79,USA,pontiac lemans v6,pontiac
19.8,200.0,6,85.0,2990,18.2,79,USA,mercury zephyr 6,mercury
22.3,140.0,4,88.0,2890,17.3,79,USA,ford fairmont 4,ford
20.2,232.0,6,90.0,3265,18.2,79,USA,amc concord dl 6,amc
20.6,225.0,6,110.0,3360,16.6,79,USA,dodge aspen 6,dodge
17.0,305.0,8,130.0,3840,15.4,79,USA,chevrolet caprice classic,chevrolet
17.6,302.0,8,129.0,3725,13.4,79,USA,ford ltd landau,ford
16.5,351.0,8,138.0,3955,13.2,79,USA,mercury grand marquis,mercury
18.2,318.0,8,135.0,3830,15.2,79,USA,dodge st. regis,dodge
16.9,350.0,8,155.0,4360,14.9,79,USA,buick estate wagon (sw),buick
15.5,351.0,8,142.0,4054,14.3,79,USA,ford country squire (sw),ford
19.2,267.0,8,125.0,3605,15.0,79,USA,chevrolet malibu classic (sw),chevrolet
18.5,360.0,8,150.0,3940,13.0,79,USA,chrysler lebaron town @ country (sw),chrysler
31.9,89.0,4,71.0,1925,14.0,79,Europe,vw rabbit custom,volkswagen
34.1,86.0,4,65.0,1975,15.2,79,Japan,maxda glc deluxe,mazda
35.7,98.0,4,80.0,1915,14.4,79,USA,dodge colt hatchback custom,dodge
27.4,121.0,4,80.0,2670,15.0,79,USA,amc spirit dl,amc
25.4,183.0,5,77.0,3530,20.1,79,Europe,mercedes benz 300d,mercedes
23.0,350.0,8,125.0,3900,17.4,79,USA,cadillac eldorado,cadillac
27.2,141.0,4,71.0,3190,24.8,79,Europe,peugeot 504,peugeot
23.9,260.0,8,90.0,3420,22.2,79,USA,oldsmobile cutlass salon brougham,oldsmobile
34.2,105.0,4,70.0,2200,13.2,79,USA,plymouth horizon,plymouth
34.5,105.0,4,70.0,2150,14.9,79,USA,plymouth horizon tc3,plymouth
31.8,85.0,4,65.0,2020,19.2,79,Japan,datsun 210,datsun
37.3,91.0,4,69.0,2130,14.7,79,Europe,fiat strada custom,fiat
28.4,151.0,4,90.0,2670,16.0,79,USA,buick skylark limited,buick
28.8,173.0,6,115.0,2595,11.3,79,USA,chevrolet citation,chevrolet
26.8,173.0,6,115.0,2700,12.9,79,USA,oldsmobile omega brougham,oldsmobile
33.5,151.0,4,90.0,2556,13.2,79,USA,pontiac phoenix,pontiac
41.5,98.0,4,76.0,2144,14.7,80,Europe,vw rabbit,volkswagen
38.1,89.0,4,60.0,1968,18.8,80,Japan,toyota corolla tercel,toyota
32.1,98.0,4,70.0,2120,15.5,80,USA,chevrolet chevette,chevrolet
37.2,86.0,4,65.0,2019,16.4,80,Japan,datsun 310,datsun
28.0,151.0,4,90.0,2678,16.5,80,USA,chevrolet citation,chevrolet
26.4,140.0,4,88.0,2870,18.1,80,USA,ford fairmont,ford
24.3,151.0,4,90.0,3003,20.1,80,USA,amc concord,amc
19.1,225.0,6,90.0,3381,18.7,80,USA,dodge aspen,dodge
34.3,97.0,4,78.0,2188,15.8,80,Europe,audi 4000,audi
29.8,134.0,4,90.0,2711,15.5,80,Japan,toyota corona liftback,toyota
31.3,120.0,4,75.0,2542,17.5,80,Japan,mazda 626,mazda
37.0,119.0,4,92.0,2434,15.0,80,Japan,datsun 510 hatchback,datsun
32.2,108.0,4,75.0,2265,15.2,80,Japan,toyota corolla,toyota
46.6,86.0,4,65.0,2110,17.9,80,Japan,mazda glc,mazda
27.9,156.0,4,105.0,2800,14.4,80,USA,dodge colt,dodge
40.8,85.0,4,65.0,2110,19.2,80,Japan,datsun 210,datsun
44.3,90.0,4,48.0,2085,21.7,80,Europe,vw rabbit c (diesel),volkswagen
43.4,90.0,4,48.0,2335,23.7,80,Europe,vw dasher (diesel),volkswagen
36.4,121.0,5,67.0,2950,19.9,80,Europe,audi 5000s (diesel),audi
30.0,146.0,4,67.0,3250,21.8,80,Europe,mercedes-benz 240d,mercedes-benz
44.6,91.0,4,67.0,1850,13.8,80,Japan,honda civic 1500 gl,honda
40.9,85.0,4,93.5,1835,17.3,80,Europe,renault lecar deluxe,renault
33.8,97.0,4,67.0,2145,18.0,80,Japan,subaru dl,subaru
29.8,89.0,4,62.0,1845,15.3,80,Europe,vokswagen rabbit,volkswagen
32.7,168.0,6,132.0,2910,11.4,80,Japan,datsun 280-zx,datsun
23.7,70.0,3,100.0,2420,12.5,80,Japan,mazda rx-7 gs,mazda
35.0,122.0,4,88.0,2500,15.1,80,Europe,triumph tr7 coupe,triumph
23.6,140.0,4,93.5,2905,14.3,80,USA,ford mustang cobra,ford
32.4,107.0,4,72.0,2290,17.0,80,Japan,honda accord,honda
27.2,135.0,4,84.0,2490,15.7,81,USA,plymouth reliant,plymouth
26.6,151.0,4,84.0,2635,16.4,81,USA,buick skylark,buick
25.8,156.0,4,92.0,2620,14.4,81,USA,dodge aries wagon (sw),dodge
23.5,173.0,6,110.0,2725,12.6,81,USA,chevrolet citation,chevrolet
30.0,135.0,4,84.0,2385,12.9,81,USA,plymouth reliant,plymouth
39.1,79.0,4,58.0,1755,16.9,81,Japan,toyota starlet,toyota
39.0,86.0,4,64.0,1875,16.4,81,USA,plymouth champ,plymouth
35.1,81.0,4,60.0,1760,16.1,81,Japan,honda civic 1300,honda
32.3,97.0,4,67.0,2065,17.8,81,Japan,subaru,subaru
37.0,85.0,4,65.0,1975,19.4,81,Japan,datsun 210 mpg,datsun
37.7,89.0,4,62.0,2050,17.3,81,Japan,toyota tercel,toyota
34.1,91.0,4,68.0,1985,16.0,81,Japan,mazda glc 4,mazda
34.7,105.0,4,63.0,2215,14.9,81,USA,plymouth horizon 4,plymouth
34.4,98.0,4,65.0,2045,16.2,81,USA,ford escort 4w,ford
29.9,98.0,4,65.0,2380,20.7,81,USA,ford escort 2h,ford
33.0,105.0,4,74.0,2190,14.2,81,Europe,volkswagen jetta,volkswagen
34.5,100.0,4,93.5,2320,15.8,81,Europe,renault 18i,renault
